Participant Number,Pre/Post/Intervention,Student/Counselor,Modality,Sampling Rate,Start Time,End Time,Duration,Gender,Extra Info,Mean,Median,Mode,Standard Deviation,Normalized Mean,Normalized Median,Normalized Mode,Normalized Standard Deviation
10,Pre,Student,Right,8,20:29:38,20:38:22,00:08:44,Males,,0.086,0.088,"[(0.088, 380)]",0.022,0.17,0.174,"[(0.174, 380)]",0.042
10,Post,Counselor,Left,8,21:35:32,21:43:15,00:07:43,Males,Ben,1.879,1.959,"[(2.196, 102)]",0.405,0.758,0.79,"[(0.886, 102)]",0.163
10,Post,Counselor,Right,8,21:35:32,21:43:15,00:07:43,Males,Ben,0.416,0.556,"[(0.0, 39)]",0.245,0.574,0.768,"[(0.0, 39)]",0.338
10,Post,Student,Left,4,21:35:32,21:43:15,00:07:43,Males,Ben,0.844,0.684,"[(0.002, 59)]",0.657,0.265,0.214,"[(0.001, 72)]",0.206
10,Post,Student,Right,8,21:35:32,21:43:15,00:07:43,Males,Ben,0.999,1.078,"[(0.0, 79)]",0.509,0.537,0.579,"[(0.0, 79)]",0.273
10,Intervention,Student,Left,4,14:16:50,14:39:35,00:22:45,,,0.487,0.464,"[(0.203, 35)]",0.26,0.45,0.429,"[(0.188, 35)]",0.24
10,Intervention,Student,Right,8,14:16:50,14:39:35,00:22:45,,,0.27,0.226,"[(0.145, 218)]",0.143,0.333,0.279,"[(0.179, 218)]",0.177
11,Pre,Counselor,Left,8,18:03:43,18:11:04,00:07:21,Females,,0.014,0.018,"[(0.003, 307)]",0.008,0.468,0.6,"[(0.1, 307)]",0.279
11,Pre,Counselor,Right,8,18:03:43,18:11:04,00:07:21,Females,,0.046,0.022,"[(0.0, 86)]",0.063,0.115,0.055,"[(0.0, 86)]",0.157
11,Pre,Student,Left,4,18:03:43,18:11:04,00:07:21,Females,,0.126,0.113,"[(0.105, 148)]",0.042,0.536,0.479,"[(0.445, 148)]",0.176
11,Pre,Student,Right,8,18:03:43,18:11:04,00:07:21,Females,,2.523,2.708,"[(0.0, 97)]",1.473,0.53,0.569,"[(0.0, 101)]",0.309
11,Post,Counselor,Left,8,19:25:41,19:30:29,00:04:48,Females,Olivia,0.004,0.004,"[(0.004, 9)]",0.003,0.42,0.4,"[(0.4, 9)]",0.303
11,Post,Counselor,Right,8,19:25:41,19:30:29,00:04:48,Females,Olivia,0.026,0.022,"[(0.008, 163)]",0.02,0.379,0.324,"[(0.118, 163)]",0.292
11,Post,Student,Left,4,19:25:41,19:30:29,00:04:48,Females,Olivia,0.001,0.002,"[(0.002, 50)]",0.001,0.365,0.5,"[(0.5, 50)]",0.251
11,Post,Student,Right,8,19:25:41,19:30:29,00:04:48,Females,Olivia,1.477,1.514,"[(0.0, 118)]",0.814,0.522,0.535,"[(0.0, 118)]",0.288
11,Intervention,Student,Left,,,,,,,,,,,,,,
11,Intervention,Student,Right,,,,,,,,,,,,,,
12,Pre,Counselor,Left,8,18:13:52,18:19:45,00:05:53,Females,,0.014,0.012,"[(0.012, 504)]",0.007,0.453,0.4,"[(0.4, 504)]",0.236
12,Pre,Counselor,Right,8,18:13:52,18:19:45,00:05:53,Females,,0.012,0.01,"[(0.0, 521)]",0.011,0.117,0.093,"[(0.0, 521)]",0.103
12,Pre,Student,Left,4,18:13:52,18:19:45,00:05:53,Females,,0.377,0.402,"[(0.402, 48)]",0.105,0.715,0.763,"[(0.763, 48)]",0.199
12,Pre,Student,Right,8,18:13:52,18:19:45,00:05:53,Females,,0.571,0.641,"[(0.0, 96)]",0.185,0.682,0.765,"[(0.0, 96)]",0.221
12,Post,Counselor,Left,8,18:52:08,18:56:35,00:04:27,Females,Julia,0.011,0.014,"[(0.018, 8)]",0.008,0.484,0.636,"[(0.818, 8)]",0.354
12,Post,Counselor,Right,8,18:52:08,18:56:35,00:04:27,Females,Julia,0.045,0.05,"[(0.059, 109)]",0.025,0.552,0.617,"[(0.728, 109)]",0.314
12,Post,Student,Left,4,18:52:08,18:56:35,00:04:27,Females,Julia,1.782,2.012,"[(0.002, 34)]",0.802,0.635,0.717,"[(0.001, 49)]",0.286
12,Post,Student,Right,8,18:52:08,18:56:35,00:04:27,Females,Julia,0.945,0.963,"[(0.0, 41)]",0.537,0.394,0.402,"[(0.0, 41)]",0.224
12,Intervention,Student,Left,,,,,,,,,,,,,,
12,Intervention,Student,Right,,,,,,,,,,,,,,
13,Pre,Counselor,Left,8,18:26:10,18:34:35,00:08:25,Females,,0.019,0.018,"[(0.014, 424)]",0.01,0.432,0.409,"[(0.318, 424)]",0.227
13,Pre,Counselor,Right,8,18:26:10,18:34:35,00:08:25,Females,,0.022,0.02,"[(0.01, 420)]",0.014,0.368,0.333,"[(0.167, 420)]",0.237
13,Pre,Student,Left,4,18:26:10,18:34:35,00:08:25,Females,,0.041,0.044,"[(0.049, 199)]",0.01,0.774,0.83,"[(0.925, 199)]",0.191
13,Pre,Student,Right,8,18:26:10,18:34:35,00:08:25,Females,,0.003,0.004,"[(0.006, 767)]",0.003,0.249,0.286,"[(0.429, 767)]",0.201
13,Post,Counselor,Left,8,18:14:39,18:21:57,00:07:18,Females,Rachel,0.023,0.022,"[(0.022, 58)]",0.013,0.477,0.458,"[(0.458, 58)]",0.269
13,Post,Counselor,Right,8,18:14:39,18:21:57,00:07:18,Females,Rachel,0.05,0.061,"[(0.065, 151)]",0.029,0.561,0.678,"[(0.722, 151)]",0.32
13,Post,Student,Left,4,18:14:39,18:21:57,00:07:18,Females,Rachel,0.012,0.016,"[(0.016, 227)]",0.005,0.624,0.8,"[(0.8, 227)]",0.274
13,Post,Student,Right,8,18:14:39,18:21:57,00:07:18,Females,Rachel,0.001,0.0,"[(0.0, 384)]",0.001,0.216,0.0,"[(0.0, 384)]",0.282
13,Intervention,Student,Left,,,,,,,,,,,,,,
13,Intervention,Student,Right,,,,,,,,,,,,,,
14,Pre,Counselor,Left,8,18:37:00,18:43:35,00:06:35,Females,,0.002,0.002,"[(0.002, 71)]",0.002,0.14,0.167,"[(0.167, 71)]",0.148
14,Pre,Counselor,Right,8,18:37:00,18:43:35,00:06:35,Females,,0.017,0.016,"[(0.0, 401)]",0.013,0.456,0.432,"[(0.0, 401)]",0.343
14,Pre,Student,Left,4,18:37:00,18:43:35,00:06:35,Females,,0.633,0.57,"[(0.583, 30)]",0.268,0.354,0.319,"[(0.326, 30)]",0.15
14,Pre,Student,Right,8,18:37:00,18:43:35,00:06:35,Females,,0.785,0.926,"[(0.0, 247)]",0.499,0.415,0.49,"[(0.0, 247)]",0.264
14,Post,Counselor,Left,8,17:54:57,18:01:12,00:06:15,Females,Mari,0.021,0.024,"[(0.024, 94)]",0.008,0.797,0.923,"[(0.923, 94)]",0.304
14,Post,Counselor,Right,8,17:54:57,18:01:12,00:06:15,Females,Mari,0.033,0.035,"[(0.0, 257)]",0.021,0.391,0.412,"[(0.0, 257)]",0.247
14,Post,Student,Left,4,17:54:57,18:01:12,00:06:15,Females,Mari,0.007,0.008,"[(0.008, 423)]",0.002,0.564,0.667,"[(0.667, 423)]",0.208
14,Post,Student,Right,8,17:54:57,18:01:12,00:06:15,Females,Mari,0.009,0.01,"[(0.014, 508)]",0.005,0.554,0.625,"[(0.875, 508)]",0.319
14,Intervention,Student,Left,,,,,,,,,,,,,,
14,Intervention,Student,Right,,,,,,,,,,,,,,
15,Pre,Counselor,Left,8,18:51:21,19:05:34,00:14:13,Females,,0.003,0.002,"[(0.002, 154)]",0.005,0.114,0.077,"[(0.077, 154)]",0.177
15,Pre,Counselor,Right,8,18:51:21,19:05:34,00:14:13,Females,,0.043,0.047,"[(0.0, 670)]",0.026,0.45,0.495,"[(0.0, 670)]",0.272
15,Pre,Student,Left,4,18:51:21,19:05:34,00:14:13,Females,,0.012,0.006,"[(0.006, 40)]",0.018,0.147,0.072,"[(0.072, 40)]",0.218
15,Pre,Student,Right,8,18:51:21,19:05:34,00:14:13,Females,,0.027,0.022,"[(0.0, 1076)]",0.024,0.093,0.077,"[(0.0, 1076)]",0.083
15,Post,Counselor,Left,8,18:25:51,18:41:13,00:15:22,Females,Angela,0.011,0.01,"[(0.01, 92)]",0.012,0.226,0.2,"[(0.2, 92)]",0.234
